repo.url,repo.language,repo.license,repo.star_count,repo.created_at,repo.updated_at,legacy.created_since,legacy.updated_since,legacy.contributor_count,legacy.org_count,legacy.commit_frequency,legacy.recent_release_count,legacy.updated_issues_count,legacy.closed_issues_count,legacy.issue_comment_frequency,legacy.github_mention_count,depsdev.dependent_count,original_pike_score
https://github.com/open-mpi/ompi,C,Other,1512,2003-11-22T16:36:58Z,2022-06-10T12:51:02Z,225,0,341,9,20.04,10,8896,8371,2,25237,,0.76916
https://github.com/koverstreet/bcachefs,C,Other,341,2017-12-02T09:09:17Z,2022-03-22T05:11:42Z,55,2,5000,10,1339.69,111,421,326,2.93,36,,0.76901
https://github.com/NixOS/nix,C++,GNU Lesser General Public License v2.1,6380,2003-03-12T13:32:24Z,2022-06-15T08:41:52Z,234,0,469,8,37.21,4,6041,4417,3.99,7891,,0.76883
https://github.com/opencontainers/runc,Go,Apache License 2.0,9302,2014-02-21T22:56:15Z,2022-06-14T03:20:45Z,101,0,379,8,12.94,9,2659,2348,4.85,19799,8392,0.76855
https://github.com/magento/devdocs,Ruby,Open Software License 3.0,609,2014-03-10T20:54:08Z,2022-06-15T21:16:03Z,100,0,1100,3,74.5,7,8849,8750,2.86,13953,,0.76839
https://github.com/dotnet/sdk,C#,MIT License,1848,2015-10-02T18:03:16Z,2022-06-13T15:58:57Z,81,0,492,3,158.27,37,24162,22047,2,17033,,0.76839
https://github.com/GeoNode/geonode,JavaScript,Other,1149,2009-09-29T21:07:38Z,2022-06-14T13:24:12Z,154,0,345,8,18.13,10,7344,7148,1.62,46983,,0.76829
https://github.com/iovisor/bcc,C,Apache License 2.0,14725,2015-04-26T07:56:42Z,2022-05-11T21:24:01Z,86,1,500,10,8.65,4,3496,2802,3.42,42536,,0.76828
https://github.com/tensorflow/models,Python,Other,73827,2016-01-13T01:34:37Z,2022-06-14T14:59:30Z,78,0,866,5,24.81,8,10359,9023,2,40898,,0.76813
https://github.com/Azure/azure-powershell,C#,Other,3126,2014-09-10T20:35:18Z,2022-06-15T05:57:39Z,94,0,1668,2,28.02,52,16559,15548,2.42,16798,,0.76799
https://github.com/owncloud/client,C++,GNU General Public License v2.0,1305,2008-02-27T17:56:47Z,2022-06-10T08:02:26Z,174,0,180,10,20.87,21,5316,4667,3.87,7473,,0.76786
https://github.com/openshift/origin,Go,Apache License 2.0,8132,2014-07-30T18:17:42Z,2022-06-15T06:51:08Z,95,0,561,5,27.46,9,18815,18591,2,48310,332,0.76759
https://github.com/dask/dask,Python,"BSD 3-Clause ""New"" or ""Revised"" License",9985,2014-12-21T21:26:20Z,2022-06-14T09:08:00Z,91,0,539,8,12.65,32,7784,7051,4.75,2869,1646,0.76755
https://github.com/aws/aws-cdk,TypeScript,Apache License 2.0,8773,2017-10-04T19:22:36Z,2022-06-10T02:29:50Z,56,0,1052,4,56.27,113,20335,18120,2,11770,252498,0.76754
https://github.com/PaddlePaddle/Paddle,Python,Apache License 2.0,18340,2016-08-15T06:59:08Z,2022-06-13T11:18:18Z,70,0,753,5,99.54,9,43367,40400,2,13772,,0.76736
https://github.com/pypa/pip,Python,MIT License,8044,2008-10-15T22:02:57Z,2022-06-12T16:17:25Z,166,0,675,8,22.29,9,11152,10165,2,10282,2115,0.76720
https://github.com/spring-projects/spring-framework,Java,Apache License 2.0,48104,2008-07-10T22:00:24Z,2022-06-15T15:46:31Z,169,0,756,3,34,24,18590,17248,2.15,18942,381533,0.76692
https://github.com/OpenAPITools/openapi-generator,Java,Apache License 2.0,12411,2011-07-06T14:45:16Z,2022-06-07T16:35:40Z,133,0,2440,6,28.13,7,12533,9310,2,2792,,0.76688
https://github.com/puma/puma,Ruby,"BSD 3-Clause ""New"" or ""Revised"" License",7092,2006-01-28T18:47:34Z,2022-06-02T21:12:46Z,199,0,461,8,3.13,12,1998,1930,4.18,40318,,0.76678
https://github.com/wxWidgets/wxWidgets,C++,,4386,1998-05-20T14:01:55Z,2022-06-15T22:45:47Z,293,0,462,5,39.65,2,6193,5398,6.46,12253,,0.76675
https://github.com/vuejs/vue-cli,JavaScript,MIT License,29309,2015-12-26T23:11:20Z,2022-04-13T08:47:45Z,78,2,479,10,3.04,17,6998,6030,3.11,24858,3773,0.76669
https://github.com/BabylonJS/Babylon.js,TypeScript,Apache License 2.0,17541,2013-06-27T20:40:42Z,2022-06-13T13:46:26Z,109,0,551,5,108.29,58,11356,11249,1.21,8096,,0.76637
https://github.com/v8/v8,C++,Other,19648,2008-06-30T17:16:55Z,2022-05-26T20:34:54Z,169,0,926,2,115.87,1565,50,50,1.94,347111,,0.76633
https://github.com/rust-lang/libc,Rust,Apache License 2.0,1369,2015-01-13T15:54:27Z,2022-06-13T16:28:08Z,90,0,552,5,21.17,10,2513,2406,7.44,8264,40538,0.76607
https://github.com/spree/spree,Ruby,Other,11854,2008-02-25T17:59:14Z,2022-06-13T14:10:47Z,174,0,1164,7,19.52,9,4450,4195,1.16,15362,,0.76586
https://github.com/pandas-dev/pandas,Python,"BSD 3-Clause ""New"" or ""Revised"" License",34205,2009-07-31T15:07:16Z,2022-06-16T01:16:30Z,156,0,3018,3,48.4,11,36124,32636,2,3496,27495,0.76581
https://github.com/spulec/moto,Python,Apache License 2.0,5909,2013-02-16T03:15:43Z,2022-06-13T10:14:22Z,113,0,959,9,18.33,18,4644,4541,2.69,1807,160,0.76568
https://github.com/axios/axios,JavaScript,MIT License,93961,2014-08-18T22:30:27Z,2022-06-14T19:56:17Z,95,0,377,8,4.71,13,4744,4573,3.4,36085,102346,0.76568
https://github.com/swagger-api/swagger-codegen,Mustache,Apache License 2.0,14507,2011-07-06T14:26:48Z,2022-06-02T20:05:07Z,133,0,1207,8,3.5,15,8628,5508,2.48,7874,197,0.76554
https://github.com/ppy/osu,C#,MIT License,10041,2014-07-31T04:26:30Z,2022-06-15T09:06:11Z,95,0,331,4,215.94,61,16128,15286,2,8325,,0.76541
https://github.com/TrinityCore/TrinityCore,C++,GNU General Public License v2.0,7377,2008-10-02T21:23:55Z,2022-06-15T09:58:03Z,166,0,898,1,84.94,17,12786,11401,3.13,26852,,0.76525
https://github.com/jekyll/jekyll,Ruby,MIT License,44861,2008-10-20T02:07:26Z,2022-05-26T09:41:58Z,166,0,1176,8,3.5,3,8798,8616,1.86,50760,8,0.76524
https://github.com/OpenNMS/opennms,Java,Other,676,2002-05-06T15:10:37Z,2022-06-13T18:28:07Z,244,0,241,7,84.4,16,3978,3947,1.59,17472,,0.76518
https://github.com/go-gitea/gitea,Go,MIT License,30439,2014-02-12T02:01:43Z,2022-06-13T00:10:09Z,101,0,1125,5,34.13,30,19773,17953,2,3860,,0.76492
