Name,Maintained,CodeReview,Criticality
github.com/rust-lang/rust,10,0,22
github.com/osmandapp/OsmAnd,10,0,335
github.com/apereo/cas,10,0,154
github.com/rollup/plugins,10,0,520
github.com/react-bootstrap/react-bootstrap,10,8,747
github.com/jitsi/jitsi-meet,10,10,579
github.com/nlohmann/json,10,8,578
github.com/JabRef/jabref,10,2,514
github.com/tokio-rs/tokio,10,10,481
github.com/archlinuxcn/repo,10,0,909
github.com/matrix-org/synapse,10,7,340
github.com/aws/aws-cdk,10,10,247
github.com/laurent22/joplin,10,0,573
github.com/gentoo/gentoo,10,0,20
github.com/libgit2/libgit2,10,0,443
github.com/coala/coala,0,7,986
github.com/infor-design/enterprise,10,10,704
github.com/apache/zookeeper,4,0,984
github.com/dotnet/efcore,10,8,551
github.com/ravendb/ravendb,10,3,961
github.com/ghc/ghc,10,0,746
github.com/emscripten-core/emscripten,10,9,752
github.com/kubernetes/kube-state-metrics,10,10,966
github.com/Koenkk/zigbee2mqtt,10,0,963
github.com/MicrosoftDocs/microsoft-365-docs,10,0,552
github.com/airbnb/javascript,10,2,981
github.com/EasyCorp/EasyAdminBundle,10,2,900
github.com/gcc-mirror/gcc,10,0,798
github.com/mitmproxy/mitmproxy,10,2,796
github.com/tailwindlabs/tailwindcss,10,0,462
github.com/Azure/azure-cli,10,10,849
github.com/simple-icons/simple-icons,10,9,809
github.com/thumbor/thumbor,10,5,933
github.com/PowerDNS/pdns,10,9,723
github.com/open-telemetry/opentelemetry-collector-contrib,10,10,797
github.com/GeekyAnts/NativeBase,10,0,954
github.com/angular/angular-cli,10,9,171
github.com/golang/go,10,10,75
github.com/cocos2d/cocos2d-x,0,2,950
github.com/ipython/ipython,10,2,174
github.com/jellyfin/jellyfin-androidtv,10,7,815
github.com/jlord/patchwork,10,0,510
github.com/RPCS3/rpcs3,10,2,948
github.com/certbot/certbot,10,10,461
github.com/traefik/traefik,10,10,693
github.com/backdrop/backdrop,10,1,678
github.com/micronaut-projects/micronaut-core,10,4,675
